model_i,model_j,dm_stat,p_raw,p_holm
chronos-bolt-L720,patchtsmixer-hijri-L168,-5.135482649104574,2.814208444057442e-07,3.517760555071803e-05
chronos-bolt-L720,chronos-bolt-L720+res-nh,-5.851518372536657,4.871054670729791e-09,6.770765992314409e-07
chronos-bolt-L720,chronos-bolt-L720+res-h,-5.62608811980564,1.8434220150354008e-08,2.507053940448145e-06
chronos-bolt-L720,moirai-L336+res-nh,-7.816836636798267,5.329070518200751e-15,9.2192919964873e-13
chronos-bolt-L720,moirai-L336+res-h,-7.374761572270634,1.645350522494482e-13,2.8135493934655642e-11
chronos-bolt-L720,timesfm-L168+res-nh,-5.860408159949877,4.617308535515008e-09,6.464231949721011e-07
chronos-bolt-L720,timesfm-L168+res-h,-5.1414007132139545,2.7269774860450013e-07,3.435991632416702e-05
chronos-bolt-L720,time-moe-L720+res-nh,-3.7356523981010445,0.0001872291485340849,0.01868216731744088
chronos-bolt-L720,time-moe-L720+res-h,-3.8466121321665208,0.00011976233325872165,0.012095995659130887
timesfm-2.5-L168,moirai-1.1-small-L336,-3.532875541277674,0.0004110659398834926,0.038640198349048305
timesfm-2.5-L168,time-moe-200m-L720,2.160113108090013,0.030763914520262725,1.0
timesfm-2.5-L168,mstl_ets-nohijri,-4.613003721668643,3.968911934215669e-06,0.0004564248724348019
timesfm-2.5-L168,mstl_ets-hijri,-4.613003721668643,3.968911934215669e-06,0.0004564248724348019
timesfm-2.5-L168,sarimax-nohijri,-7.325003826104058,2.389199948993337e-13,4.061639913288673e-11
timesfm-2.5-L168,sarimax-hijri,-7.4198560752186475,1.1723955140041653e-13,2.0165202840871643e-11
timesfm-2.5-L168,patchtsmixer-nohijri-L168,-1.5651643426549557,0.11754437992677658,1.0
timesfm-2.5-L168,patchtsmixer-hijri-L168,-1.2197052297205846,0.22257663836836583,1.0
timesfm-2.5-L168,chronos-bolt-L720+res-nh,0.5345910375317002,0.592932682447145,1.0
timesfm-2.5-L168,chronos-bolt-L720+res-h,0.4954333740293911,0.6202942413794859,1.0
timesfm-2.5-L168,moirai-L336+res-nh,-3.307374625814234,0.0009417485663989478,0.0828738738431074
timesfm-2.5-L168,moirai-L336+res-h,-3.0022987503762164,0.0026794907505072185,0.21167976929007026
timesfm-2.5-L168,timesfm-L168+res-nh,-4.763310492069287,1.9044246128974152e-06,0.00022853095354768982
timesfm-2.5-L168,timesfm-L168+res-h,-3.736200570439311,0.0001868216731744088,0.01868216731744088
timesfm-2.5-L168,time-moe-L720+res-nh,-0.08720317928623007,0.9305100122810221,1.0
timesfm-2.5-L168,time-moe-L720+res-h,-0.16731209182580037,0.8671244903458244,1.0
moirai-1.1-small-L336,time-moe-200m-L720,5.516496730242264,3.458239206111102e-08,4.599458144127766e-06
moirai-1.1-small-L336,mstl_ets-nohijri,-1.8506871426004654,0.06421457483108095,1.0
moirai-1.1-small-L336,mstl_ets-hijri,-1.8506871426004654,0.06421457483108095,1.0
moirai-1.1-small-L336,sarimax-nohijri,-4.284955616116065,1.8277567343405465e-05,0.0019739772730877903
moirai-1.1-small-L336,sarimax-hijri,-4.3060896510888105,1.661657353868584e-05,0.0018112065157167567
moirai-1.1-small-L336,patchtsmixer-nohijri-L168,1.7416773770323075,0.08156491327193427,1.0
moirai-1.1-small-L336,patchtsmixer-hijri-L168,2.1231326229393366,0.03374273999292843,1.0
moirai-1.1-small-L336,chronos-bolt-L720+res-nh,4.717588630274464,2.3865644178666656e-06,0.00028161460130826654
moirai-1.1-small-L336,chronos-bolt-L720+res-h,4.708195463892621,2.4991939440166533e-06,0.00029240569144994843
moirai-1.1-small-L336,moirai-L336+res-nh,-0.5743028686962605,0.5657628682780331,1.0
moirai-1.1-small-L336,moirai-L336+res-h,0.14322247502653332,0.8861144802983678,1.0
moirai-1.1-small-L336,timesfm-L168+res-nh,1.434426115470755,0.15145069950636336,1.0
moirai-1.1-small-L336,timesfm-L168+res-h,2.2242546420602234,0.026131316555177087,1.0
moirai-1.1-small-L336,time-moe-L720+res-nh,3.2769707897453975,0.0010492722393553588,0.0891881403452055
moirai-1.1-small-L336,time-moe-L720+res-h,3.1575022978009795,0.001591269826004993,0.13048412573240942
time-moe-200m-L720,mstl_ets-nohijri,-9.20607527627333,0.0,0.0
time-moe-200m-L720,mstl_ets-hijri,-9.20607527627333,0.0,0.0
time-moe-200m-L720,sarimax-nohijri,-9.678137105184444,0.0,0.0
time-moe-200m-L720,sarimax-hijri,-9.693101870219971,0.0,0.0
time-moe-200m-L720,patchtsmixer-nohijri-L168,-5.542377766688235,2.983916913557039e-08,4.028287833302002e-06
time-moe-200m-L720,patchtsmixer-hijri-L168,-4.926151945960302,8.386479148914106e-07,0.00010231504561675209
time-moe-200m-L720,chronos-bolt-L720+res-nh,-3.4570222521503564,0.000546179746480524,0.04970235692972769
time-moe-200m-L720,chronos-bolt-L720+res-h,-3.463050487071066,0.0005340881712112555,0.04919787049529134
time-moe-200m-L720,moirai-L336+res-nh,-6.997058365013368,2.6139090891774686e-12,4.260671815359274e-10
time-moe-200m-L720,moirai-L336+res-h,-6.3874735734288315,1.6864865060028933e-10,2.6646486794845714e-08
time-moe-200m-L720,timesfm-L168+res-nh,-4.993642475364181,5.925103863102521e-07,7.287877751616101e-05
time-moe-200m-L720,timesfm-L168+res-h,-4.259225386594425,2.051365476352096e-05,0.002194961059696743
time-moe-200m-L720,time-moe-L720+res-nh,-6.225321185795978,4.805704723054305e-10,7.256614131812e-08
time-moe-200m-L720,time-moe-L720+res-h,-6.406892698899898,1.4851520013792197e-10,2.3613916821929593e-08
mstl_ets-nohijri,mstl_ets-hijri,0.0,1.0,1.0
mstl_ets-nohijri,sarimax-nohijri,-2.4184281359871993,0.01558772423992405,0.9820266271152152
mstl_ets-nohijri,sarimax-hijri,-2.441742903725709,0.014616551673381162,0.9500758587697755
mstl_ets-nohijri,patchtsmixer-nohijri-L168,3.9955164525346656,6.455337367694547e-05,0.006713550862402329
mstl_ets-nohijri,patchtsmixer-hijri-L168,4.437419947669,9.104356401890001e-06,0.0010196879170116802
mstl_ets-nohijri,chronos-bolt-L720+res-nh,8.7171402406578,0.0,0.0
mstl_ets-nohijri,chronos-bolt-L720+res-h,8.475023487048245,0.0,0.0
mstl_ets-nohijri,moirai-L336+res-nh,1.9223911167169994,0.05455656251515806,1.0
mstl_ets-nohijri,moirai-L336+res-h,2.571147747017024,0.010136207316787438,0.6791258902247583
mstl_ets-nohijri,timesfm-L168+res-nh,3.0156557649684026,0.0025642419341180833,0.20770359666356475
mstl_ets-nohijri,timesfm-L168+res-h,3.600435787059133,0.0003176842805714397,0.030497690934858213
mstl_ets-nohijri,time-moe-L720+res-nh,6.028816518146748,1.6516465972671313e-09,2.4114040320100116e-07
mstl_ets-nohijri,time-moe-L720+res-h,5.905959590562129,3.505999046637953e-09,5.013578636692273e-07
mstl_ets-hijri,sarimax-nohijri,-2.4184281359871993,0.01558772423992405,0.9820266271152152
mstl_ets-hijri,sarimax-hijri,-2.441742903725709,0.014616551673381162,0.9500758587697755
mstl_ets-hijri,patchtsmixer-nohijri-L168,3.9955164525346656,6.455337367694547e-05,0.006713550862402329
mstl_ets-hijri,patchtsmixer-hijri-L168,4.437419947669,9.104356401890001e-06,0.0010196879170116802
mstl_ets-hijri,chronos-bolt-L720+res-nh,8.7171402406578,0.0,0.0
mstl_ets-hijri,chronos-bolt-L720+res-h,8.475023487048245,0.0,0.0
mstl_ets-hijri,moirai-L336+res-nh,1.9223911167169994,0.05455656251515806,1.0
mstl_ets-hijri,moirai-L336+res-h,2.571147747017024,0.010136207316787438,0.6791258902247583
mstl_ets-hijri,timesfm-L168+res-nh,3.0156557649684026,0.0025642419341180833,0.20770359666356475
mstl_ets-hijri,timesfm-L168+res-h,3.600435787059133,0.0003176842805714397,0.030497690934858213
mstl_ets-hijri,time-moe-L720+res-nh,6.028816518146748,1.6516465972671313e-09,2.4114040320100116e-07
mstl_ets-hijri,time-moe-L720+res-h,5.905959590562129,3.505999046637953e-09,5.013578636692273e-07
sarimax-nohijri,sarimax-hijri,-0.9157634663747729,0.35979096905313246,1.0
sarimax-nohijri,patchtsmixer-nohijri-L168,5.661609261277472,1.4995997554834162e-08,2.05445166501228e-06
sarimax-nohijri,patchtsmixer-hijri-L168,6.047390991894874,1.4721019958585657e-09,2.1639899339120916e-07
sarimax-nohijri,chronos-bolt-L720+res-nh,8.187589588363142,2.220446049250313e-16,3.952393967665557e-14
sarimax-nohijri,chronos-bolt-L720+res-h,8.180024492267934,2.220446049250313e-16,3.952393967665557e-14
sarimax-nohijri,moirai-L336+res-nh,3.9746033291003577,7.04966514299965e-05,0.007190658445859643
sarimax-nohijri,moirai-L336+res-h,4.575937205489754,4.740927459279121e-06,0.0005357248028985406
sarimax-nohijri,timesfm-L168+res-nh,6.064250114323245,1.3257070996530729e-09,1.9620465074865479e-07
sarimax-nohijri,timesfm-L168+res-h,6.631807149576372,3.3160141299504176e-11,5.305622607920668e-09
sarimax-nohijri,time-moe-L720+res-nh,7.103109004715089,1.219913059458122e-12,2.0250556787004825e-10
sarimax-nohijri,time-moe-L720+res-h,7.025581753479181,2.1318502518852256e-12,3.49623441309177e-10
sarimax-hijri,patchtsmixer-nohijri-L168,5.677223670296028,1.3689842148778553e-08,1.8891982165314403e-06
sarimax-hijri,patchtsmixer-hijri-L168,6.065515896583339,1.315307640581409e-09,1.9598083844662995e-07
sarimax-hijri,chronos-bolt-L720+res-nh,8.20367813608326,2.220446049250313e-16,3.952393967665557e-14
