model,regime,mae,ci_lo,ci_hi
lgbm-nohijri+res-h,Ramadan,907.2007686054643,731.9425891978406,1122.6110457904456
lgbm-nohijri+res-h,Heatwave,1693.8723655937395,1433.1657527775062,1992.3986918436024
lgbm-hijri+res-h,aggregate,940.3728935051472,848.5255428397809,1044.0603863479298
lgbm-hijri+res-h,Normal,811.8369879603404,727.2578281496744,906.4236418981221
lgbm-hijri+res-h,Ramadan,849.4721768658216,728.606416900725,991.0762500208581
lgbm-hijri+res-h,Heatwave,1692.960375194848,1441.1967486913597,1989.0679785167433
mstl_ets-hijri+res-h,aggregate,1364.8820902826558,1220.4856712152487,1529.0508772509245
mstl_ets-hijri+res-h,Normal,1179.7533877113522,1044.6761324706658,1335.7914479658612
mstl_ets-hijri+res-h,Ramadan,1154.3075124996951,886.5038056283489,1526.3453696386825
mstl_ets-hijri+res-h,Heatwave,2522.253309742639,2194.659459312458,2934.36299339606
sarimax-hijri+res-h,aggregate,1299.347188106827,1156.1215294880485,1471.3766817369667
sarimax-hijri+res-h,Normal,972.7071800478702,853.5389730991097,1105.1218518695487
sarimax-hijri+res-h,Ramadan,1264.6137282776501,968.0052275906723,1624.5443355242367
sarimax-hijri+res-h,Heatwave,3030.915888318608,2639.5526302830817,3404.556600314207
ensemble-top4-residual-median,aggregate,872.3717836692755,783.9071714689882,984.94790261148
ensemble-top4-residual-median,Normal,775.0568225342562,682.5474133089259,878.4299548365752
ensemble-top4-residual-median,Ramadan,947.8631888741415,723.3020957455574,1245.1881107710067
ensemble-top4-residual-median,Heatwave,1309.1200516516863,1054.1793556633454,1619.2924223683196
meta-router,aggregate,840.8967753849755,754.4657643046709,953.025280695845
meta-router,Normal,775.0568225342562,682.5474133089259,878.4299548365752
meta-router,Ramadan,799.9443253292872,681.9476553462256,936.7642670944997
meta-router,Heatwave,1221.2233199564614,915.5221402142843,1596.597054550171
meta-router-v2,aggregate,838.7576757713173,750.833179327894,948.7340029539178
meta-router-v2,Normal,775.0568225342562,682.5474133089259,878.4299548365752
meta-router-v2,Ramadan,799.9443253292872,681.9476553462256,936.7642670944997
meta-router-v2,Heatwave,1205.9822352091471,901.4064684664407,1556.65629473114
stacked-lgbm,aggregate,890.9904582205978,793.8343020184293,1011.343767789489
stacked-lgbm,Normal,823.4013592796169,723.9596962459822,935.489792190588
stacked-lgbm,Ramadan,914.2492174790948,713.9697128681784,1187.5637095345965
stacked-lgbm,Heatwave,1221.2233199564614,915.5221402142843,1596.597054550171
