model,hour,regime,mae,n
lgbm-hijri,19,Normal,679.3274226953039,333
lgbm-hijri,20,Normal,634.5245555739072,333
lgbm-hijri,21,Normal,546.6665864689837,333
lgbm-hijri,22,Normal,527.4530279862483,333
lgbm-hijri,23,Normal,518.7321002649285,333
lgbm-hijri,0,Ramadan,593.3355556240883,59
lgbm-hijri,1,Ramadan,744.1509603277607,59
lgbm-hijri,2,Ramadan,798.4281560490161,59
lgbm-hijri,3,Ramadan,651.2279233406601,59
lgbm-hijri,4,Ramadan,633.298135679134,59
lgbm-hijri,5,Ramadan,873.5100577598937,59
lgbm-hijri,6,Ramadan,1079.2454908468767,59
lgbm-hijri,7,Ramadan,1142.9981752904887,59
lgbm-hijri,8,Ramadan,1050.4999156031733,59
lgbm-hijri,9,Ramadan,1000.201046952573,59
lgbm-hijri,10,Ramadan,1073.6775049146986,59
lgbm-hijri,11,Ramadan,1160.963613989395,59
lgbm-hijri,12,Ramadan,1055.9222372036602,59
lgbm-hijri,13,Ramadan,994.5146404696468,59
lgbm-hijri,14,Ramadan,951.8102082204391,59
lgbm-hijri,15,Ramadan,830.0354809295679,59
lgbm-hijri,16,Ramadan,728.3027818087152,59
lgbm-hijri,17,Ramadan,669.11885765981,59
lgbm-hijri,18,Ramadan,674.8836863256712,59
lgbm-hijri,19,Ramadan,630.6757099146287,59
lgbm-hijri,20,Ramadan,555.0717971500964,59
lgbm-hijri,21,Ramadan,445.8275870734716,59
lgbm-hijri,22,Ramadan,445.42873549861673,59
lgbm-hijri,23,Ramadan,415.5355492708097,59
chronos-bolt-L720,0,aggregate,620.2595454701208,456
chronos-bolt-L720,1,aggregate,655.1262326959978,456
chronos-bolt-L720,2,aggregate,657.8656321957237,456
chronos-bolt-L720,3,aggregate,675.6921068050985,456
chronos-bolt-L720,4,aggregate,772.5031238007127,456
chronos-bolt-L720,5,aggregate,1055.3641839706688,456
chronos-bolt-L720,6,aggregate,1166.3663039679275,456
chronos-bolt-L720,7,aggregate,1203.992039645011,456
chronos-bolt-L720,8,aggregate,1257.465454187226,456
chronos-bolt-L720,9,aggregate,1259.2350870339912,456
chronos-bolt-L720,10,aggregate,1416.200788788377,456
chronos-bolt-L720,11,aggregate,1367.287425815515,456
chronos-bolt-L720,12,aggregate,1344.2287136787281,456
chronos-bolt-L720,13,aggregate,1275.3430849095396,456
chronos-bolt-L720,14,aggregate,1169.3615625000002,456
chronos-bolt-L720,15,aggregate,1000.9239764939692,456
chronos-bolt-L720,16,aggregate,946.5691361705044,456
